ISBN,Book-Title,Book-Author,Year-Of-Publication,Publisher,Image-URL-S,Image-URL-M,Image-URL-L
2000000031,Procedural Modeling,Thomas Bailey,2011,"Burton, Baker and Hayden",http://images.amazon.com/images/P/2000000031.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000031.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000031.01.LZZZZZZZ.jpg
2000000032,DevOps in Action,Jose Conley,1991,Fleming-Rhodes,http://images.amazon.com/images/P/2000000032.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000032.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000032.01.LZZZZZZZ.jpg
2000000033,Introduction to Multimedia,Carla Sellers,2016,"Rodriguez, Nguyen and Smith",http://images.amazon.com/images/P/2000000033.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000033.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000033.01.LZZZZZZZ.jpg
2000000034,Advanced Networking Techniques,Nathan Johnson,2000,"Mosley, Gutierrez and Wheeler",http://images.amazon.com/images/P/2000000034.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000034.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000034.01.LZZZZZZZ.jpg
2000000035,Linear Algebra for ML,Tony Perkins DVM,2013,"Ray, Kelley and Adams",http://images.amazon.com/images/P/2000000035.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000035.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000035.01.LZZZZZZZ.jpg
2000000036,Operations Management,Heidi Harris,1998,Rodriguez-Brown,http://images.amazon.com/images/P/2000000036.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000036.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000036.01.LZZZZZZZ.jpg
2000000037,Microeconomics Simplified,Christine English,2005,"Griffin, Evans and Ford",http://images.amazon.com/images/P/2000000037.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000037.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000037.01.LZZZZZZZ.jpg
2000000038,Calculus with Applications,Bryan Rogers,2013,Leblanc-Adams,http://images.amazon.com/images/P/2000000038.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000038.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000038.01.LZZZZZZZ.jpg
2000000039,Interactive Media,Toni Barnes,2005,"Jordan, Barton and Hill",http://images.amazon.com/images/P/2000000039.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000039.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000039.01.LZZZZZZZ.jpg
2000000040,Consumer Behavior,James Ryan,2008,West Ltd,http://images.amazon.com/images/P/2000000040.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000040.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000040.01.LZZZZZZZ.jpg
2000000041,Neural Networks in Practice,David Marshall,2015,"Cook, Harding and Reed",http://images.amazon.com/images/P/2000000041.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000041.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000041.01.LZZZZZZZ.jpg
2000000042,Linear Algebra for ML,Bryan Collins,2000,"Sims, Henry and Andrade",http://images.amazon.com/images/P/2000000042.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000042.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000042.01.LZZZZZZZ.jpg
2000000043,Neural Networks in Practice,Joseph Sanchez Jr.,1999,Guzman Group,http://images.amazon.com/images/P/2000000043.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000043.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000043.01.LZZZZZZZ.jpg
2000000044,Neural Networks in Practice,Amanda Fry,1995,"Lynch, Berry and Whitehead",http://images.amazon.com/images/P/2000000044.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000044.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000044.01.LZZZZZZZ.jpg
2000000045,Cybersecurity Principles,Jean Jones,1997,Saunders-Blair,http://images.amazon.com/images/P/2000000045.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000045.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000045.01.LZZZZZZZ.jpg
2000000046,Game Theory for Business,Michael Williams,2005,Lynch-Elliott,http://images.amazon.com/images/P/2000000046.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000046.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000046.01.LZZZZZZZ.jpg
2000000047,DevOps in Action,Joan Lambert,2015,Castillo LLC,http://images.amazon.com/images/P/2000000047.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000047.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000047.01.LZZZZZZZ.jpg
2000000048,Deep Learning Foundations,Sierra Evans,1994,Woodard-King,http://images.amazon.com/images/P/2000000048.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000048.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000048.01.LZZZZZZZ.jpg
2000000049,Advanced Networking Techniques,Lynn Ramirez,2010,Bernard-Miller,http://images.amazon.com/images/P/2000000049.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000049.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000049.01.LZZZZZZZ.jpg
2000000050,Global Economic Trends,Juan Anderson,2024,"Thompson, Roy and Williams",http://images.amazon.com/images/P/2000000050.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000050.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000050.01.LZZZZZZZ.jpg
2000000051,Game Theory for Business,Karla Payne,1995,Parker Ltd,http://images.amazon.com/images/P/2000000051.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000051.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000051.01.LZZZZZZZ.jpg
2000000052,Consumer Behavior,Anthony Hernandez,1996,Cabrera Inc,http://images.amazon.com/images/P/2000000052.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000052.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000052.01.LZZZZZZZ.jpg
2000000053,Linear Algebra for ML,Robin Burnett DDS,2016,"Mercer, Rodriguez and Butler",http://images.amazon.com/images/P/2000000053.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000053.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000053.01.LZZZZZZZ.jpg
2000000054,Linear Algebra for ML,Richard Taylor,2012,Mitchell Ltd,http://images.amazon.com/images/P/2000000054.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000054.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000054.01.LZZZZZZZ.jpg
2000000055,Leadership Strategies,Karen Williams,2021,Davis Ltd,http://images.amazon.com/images/P/2000000055.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000055.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000055.01.LZZZZZZZ.jpg
2000000056,Operations Management,Tyler Barnett,2007,Black-Turner,http://images.amazon.com/images/P/2000000056.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000056.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000056.01.LZZZZZZZ.jpg
2000000057,Reinforcement Learning Explained,John Hall,2010,"Gray, Lopez and Nelson",http://images.amazon.com/images/P/2000000057.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000057.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000057.01.LZZZZZZZ.jpg
2000000058,Reinforcement Learning Explained,Steven Castaneda,2017,Diaz-Morgan,http://images.amazon.com/images/P/2000000058.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000058.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000058.01.LZZZZZZZ.jpg
2000000059,Neural Networks in Practice,Judith May,2002,"Flores, Perez and Torres",http://images.amazon.com/images/P/2000000059.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000059.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000059.01.LZZZZZZZ.jpg
2000000060,Calculus with Applications,Erin Perez,1991,Perez-Mcdonald,http://images.amazon.com/images/P/2000000060.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000060.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000060.01.LZZZZZZZ.jpg
2000000061,Marketing Analytics,Steven Arias,1990,Morales-Sanchez,http://images.amazon.com/images/P/2000000061.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000061.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000061.01.LZZZZZZZ.jpg
2000000062,Reinforcement Learning Explained,Patricia Wilson,2019,"Perez, Lewis and Parker",http://images.amazon.com/images/P/2000000062.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000062.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000062.01.LZZZZZZZ.jpg
2000000063,Game Theory for Business,Jeff Ramsey,2000,Garcia LLC,http://images.amazon.com/images/P/2000000063.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000063.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000063.01.LZZZZZZZ.jpg
2000000064,Digital Marketing Guide,Robert Rogers,2006,"Riddle, Wells and Simon",http://images.amazon.com/images/P/2000000064.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000064.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000064.01.LZZZZZZZ.jpg
2000000065,Digital Media Processing,Taylor Hernandez,2003,Harrell and Sons,http://images.amazon.com/images/P/2000000065.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000065.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000065.01.LZZZZZZZ.jpg
2000000066,Procedural Modeling,Cindy Brown,2004,"Hubbard, Crawford and Parrish",http://images.amazon.com/images/P/2000000066.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000066.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000066.01.LZZZZZZZ.jpg
2000000067,Procedural Modeling,Ashley Richardson,2022,Miller-Schmidt,http://images.amazon.com/images/P/2000000067.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000067.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000067.01.LZZZZZZZ.jpg
2000000068,Deep Learning Foundations,Debbie Martinez,1990,"Bailey, Davis and Baker",http://images.amazon.com/images/P/2000000068.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000068.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000068.01.LZZZZZZZ.jpg
2000000069,Organizational Behavior,Denise Macias,2007,Kidd-Suarez,http://images.amazon.com/images/P/2000000069.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000069.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000069.01.LZZZZZZZ.jpg
2000000070,Network Protocols Deep Dive,Kevin Wilson,2024,Williams-Hanson,http://images.amazon.com/images/P/2000000070.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000070.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000070.01.LZZZZZZZ.jpg
2000000071,Operations Management,Rita Morton,2008,Davis-Stuart,http://images.amazon.com/images/P/2000000071.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000071.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000071.01.LZZZZZZZ.jpg
2000000072,Marketing Analytics,Shelby Jones,2009,"Roberts, Allen and Reynolds",http://images.amazon.com/images/P/2000000072.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000072.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000072.01.LZZZZZZZ.jpg
2000000073,Game Theory for Business,Mr. Eric York,1994,Griffin Inc,http://images.amazon.com/images/P/2000000073.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000073.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000073.01.LZZZZZZZ.jpg
2000000074,Deep Learning Foundations,Nancy Edwards,2013,"Hall, Parsons and Campbell",http://images.amazon.com/images/P/2000000074.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000074.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000074.01.LZZZZZZZ.jpg
2000000075,Cybersecurity Principles,Bryce Warner,1991,"Parker, Clark and Griffin",http://images.amazon.com/images/P/2000000075.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000075.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000075.01.LZZZZZZZ.jpg
2000000076,Advanced Networking Techniques,Sarah Cobb,2008,"Perry, Bell and Price",http://images.amazon.com/images/P/2000000076.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000076.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000076.01.LZZZZZZZ.jpg
2000000077,Blender Mastery,Mrs. Kelly Richardson,2015,Luna-Harrison,http://images.amazon.com/images/P/2000000077.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000077.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000077.01.LZZZZZZZ.jpg
2000000078,Consumer Behavior,Joshua Duncan,2010,Lewis-Carlson,http://images.amazon.com/images/P/2000000078.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000078.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000078.01.LZZZZZZZ.jpg
2000000079,Neural Networks in Practice,Crystal Spencer,2007,"Henderson, Proctor and Berger",http://images.amazon.com/images/P/2000000079.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000079.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000079.01.LZZZZZZZ.jpg
2000000080,Procedural Modeling,James Torres,2008,Humphrey Ltd,http://images.amazon.com/images/P/2000000080.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000080.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000080.01.LZZZZZZZ.jpg
2000000081,Organizational Behavior,Kathryn Melton,1999,Cox-Simmons,http://images.amazon.com/images/P/2000000081.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000081.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000081.01.LZZZZZZZ.jpg
2000000082,Microeconomics Simplified,Amanda Avila,2000,"Prince, Castaneda and Henry",http://images.amazon.com/images/P/2000000082.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000082.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000082.01.LZZZZZZZ.jpg
2000000083,3D Design Fundamentals,Cheryl Jackson,2024,Perez Inc,http://images.amazon.com/images/P/2000000083.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000083.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000083.01.LZZZZZZZ.jpg
2000000084,Agile Methodologies,Adam Whitaker,2007,Myers-Vasquez,http://images.amazon.com/images/P/2000000084.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000084.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000084.01.LZZZZZZZ.jpg
2000000085,Network Protocols Deep Dive,Amy Perez,2014,Arnold-Chapman,http://images.amazon.com/images/P/2000000085.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000085.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000085.01.LZZZZZZZ.jpg
2000000086,Digital Marketing Guide,Steven Ali,2002,"Rhodes, Wheeler and Parker",http://images.amazon.com/images/P/2000000086.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000086.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000086.01.LZZZZZZZ.jpg
2000000087,Leadership Strategies,Emily Ali,2011,Jackson-Pham,http://images.amazon.com/images/P/2000000087.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000087.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000087.01.LZZZZZZZ.jpg
2000000088,Statistics in Data Science,Kevin Brown,2005,"Sanchez, Shelton and Rose",http://images.amazon.com/images/P/2000000088.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000088.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000088.01.LZZZZZZZ.jpg
2000000089,Procedural Modeling,Keith Hughes,1994,Martin Ltd,http://images.amazon.com/images/P/2000000089.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000089.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000089.01.LZZZZZZZ.jpg
2000000090,Cybersecurity Principles,Jonathan Foster,2007,Hernandez Ltd,http://images.amazon.com/images/P/2000000090.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000090.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000090.01.LZZZZZZZ.jpg
2000000091,Blender Mastery,Lisa Clark,2010,Swanson Inc,http://images.amazon.com/images/P/2000000091.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000091.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000091.01.LZZZZZZZ.jpg
2000000092,3D Design Fundamentals,Gregory Collins,2008,Rubio and Sons,http://images.amazon.com/images/P/2000000092.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000092.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000092.01.LZZZZZZZ.jpg
2000000093,Internet of Things Security,Kenneth Patterson,2012,Rogers PLC,http://images.amazon.com/images/P/2000000093.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000093.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000093.01.LZZZZZZZ.jpg
2000000094,Digital Marketing Guide,Joshua Smith,2024,Peterson-Aguilar,http://images.amazon.com/images/P/2000000094.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000094.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000094.01.LZZZZZZZ.jpg
2000000095,DevOps in Action,Darryl Rodriguez,2009,Humphrey PLC,http://images.amazon.com/images/P/2000000095.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000095.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000095.01.LZZZZZZZ.jpg
2000000096,Audio-Visual Systems,Michael Knight,1990,Pugh Ltd,http://images.amazon.com/images/P/2000000096.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000096.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000096.01.LZZZZZZZ.jpg
2000000097,Game Asset Creation,John Beck,2024,Martin Ltd,http://images.amazon.com/images/P/2000000097.01.THUMBZZZ.jpg,http://images.amazon.com/images/P/2000000097.01.MZZZZZZZ.jpg,http://images.amazon.com/images/P/2000000097.01.LZZZZZZZ.jpg
